company_name,job_name,job_desc,job_req_and_info
Get Your Guide,"Senior Data Analyst, Business Analytics (Supply Acquisition)",*What you'll do: You will be focusing on uncovering opportunities and influencing the supply acquisition strategy.,"Berlin, DE Visa sponsorship in English Python, Spark, SQL Hybrid"
Amazon,"Applied Scientist (MT), ASIN Localization",*What you'll do: You will focus on delivering optimal translation quality for product data at a massive scale.,"Berlin, DE Visa sponsorship in English Python, PyTorch, TensorFlow Hybrid"
Autodesk,AI Research Scientist,*What you'll do: You will be doing fundamental and applied research in AI.,"Munich, DE Visa sponsorship in English Python, PyTorch, TensorFlow Hybrid"
Tesla,Data Analyst Supply Chain (m/w/d) - Gigafactory,"*What you'll do: You will be working on delivering process improvements, systems capabilities, and data insights for Direct Supply Chain components and materials team.","Berlin, DE Visa sponsorship in English Python, SQL, Tableau Hybrid"
Zalando,Data Engineer - Partner Tech,*What you'll do: You will support the implementation of a reliable and performant data infrastructure that integrates with internal and 3rd party tools.,"Berlin, DE Visa sponsorship in English Python, SQL, AWS, Airflow Hybrid"
Amazon,"Data Engineer, Amazon Deals","*What you'll do: You will work closely with cross-functional teams to implement data pipelines, ETL processes, data modeling, and best practices.","Berlin, DE Visa sponsorship in English Python, Scala, AWS, Hadoop Hybrid"
Billie,Data Scientist,*What you'll do: You will be building and implementing fraud detection models across different portfolios.,"Berlin, DE Visa sponsorship in English Python, R, SQL, Hybrid"
Zalando,Senior Data Analyst - Customer Experience Analytics (all genders),"*What you'll do: You will be working with customer experience, extracting insights and translating them into actionable recommendations.","Berlin, DE Visa sponsorship in English Python, SQL, Spark, AWS Hybrid"
Omio,Data Engineer,*What you'll do: You will be working on maintaining and improving data ingestion platform.,"Berlin, DE Visa sponsorship in English Python, SQL, Airflow, Terraform Hybrid"
Zalando,Data Engineer - Customer Fulfillment BI,*What you'll do: You will be responsible for designing and implementing scalable data pipelines that are essential for supporting the expansion of the data warehouse.,"Berlin, DE Visa sponsorship in English Python, SQL, AWS, Databricks Hybrid"
Get Your Guide,Senior Data Engineer (Experimentation Platform),*What you'll do: You will design and implement features in the A/B experimentation platform with scalable and efficient data and software engineering practices.,"Berlin, DE Visa sponsorship in English Python, Scala Hybrid"
Adidas,Junior Data Scientist,*What you'll do: You will be working on the recommendation algorithm improvements.,"Herzogenaurach, DE Visa sponsorship in English Python, SQL, Spark Hybrid"
DocMorris,Data Scientist,"*What you'll do: You will be working on smart/optimization/personalisation algorithms, recommender systems, forecasting and predictive models.","Berlin, DE Visa sponsorship in English Python, SQL Hybrid"
Grover,Sr. Pricing Data Scientist/Analyst,*What you'll do: You will be working on building and improving pricing engine.,"Berlin, DE Visa sponsorship in English Python, SQL Hybrid"
Allianz,(Senior) Data Analyst - Allianz Direct,"*What you'll do: You will be part of Finance function at Allianz Directand provide key stakeholders with appropriate information, analyses and recommendations to steer the company on a value-based approach.","Munich, DE Visa sponsorship in English Power BI, Python, SQL On-site only"
Zalando,Data Engineer - Zalando Marketing Services,*What you'll do: You will develop and further enhance Zalando's self-service web interfaces.,"Berlin, DE Visa sponsorship in English Python, SQL, AWS, Databricks Hybrid"
eBay,Senior Applied Researcher,*What you'll do: You will be working on the next generation of online advertising and search ranking products in eBay search.,"Kleinmachnow, DE Visa sponsorship in English Python, SQL, Spark Hybrid"
adjoe,Business Intelligence Analyst,"*What you'll do: You will be working on creating, analyzing and communicating reports and statistics for the business teams and partners.","Hamburg, DE Visa sponsorship in English Python, SQL, AWS Hybrid"
Vinted,"Data Analyst / Decision Scientist, Network","*What you'll do: You will be working on performance metrics for carrier portfolio, automation of carrier tracking, ways to optimise the services provided.","Berlin, DE Visa sponsorship in English Python, SQL, Looker Hybrid"
home24,(Junior) Data Engineer,"*What you'll do: You will be working on designing, implementing and maintaining data processing pipelines in different clouds.","Berlin, DE Visa sponsorship in English Python, SQL, Scala, AWS Hybrid"
home24,Data Engineer,"*What you'll do: You will be working on designing, implementing and maintaining data processing pipelines in different clouds.","Berlin, DE Visa sponsorship in English Python, SQL, Scala, AWS Hybrid"
Zalando,Data / ML Engineer - Performance Marketing,*What you'll do: You will be working on Implementing and maintaining high-performance and growth-ready data-processing and data integration pipelines.,"Berlin, DE Visa sponsorship in English Python, SQL, AWS, Databricks Hybrid"
Trivago,Data Scientist â Bidding and Recommendations,"*What you'll do: You will design, implement, and improve our bidding algorithms and evaluate their performance on live data.","DÃ¼sseldorf, DE Visa sponsorship in English Python, SQL, Spark Hybrid"
Get Your Guide,"Senior Data Analyst, Marketing/Measurement",*What you'll do: You will be helping to improve and to create measurement tools to determine the ROI of the performance marketing campaigns.,"Berlin, DE Visa sponsorship in English Python, SQL, Looker Hybrid"
Zalando,Senior Data / Product Analyst in Performance Marketing,*What you'll do: You will ensure a consistent and sustainable channel performance and profitable growth.,"Berlin, DE Visa sponsorship in English Python, SQL Hybrid"
Trivago,Data Engineer â Content,"*What you'll do: You will process and deliver high quality content, by utilizing modern cloud technologies for batch and stream data processes.","DÃºsseldorf, DE Visa sponsorship in English Python, BigQuery, Kafka Hybrid"
Zalando,Senior Applied Scientist - Customer Relationship Management (CRM),*What you'll do: You will analyse client behaviour and develop targeted communication strategies.,"Berlin, DE Visa sponsorship in English Python, PyTorch, PySpark Hybrid"
Zalando,Sr Data Engineer - CRM,"*What you'll do: You will develop, monitor, and operate data integration pipelines, deployed as applications on a PaaS/SaaS cloud.","Berlin, DE Visa sponsorship in English Python, Scala, Spark, AWS Hybrid"
eBay,Applied Researcher,*Ebay is a global e-commerce marketplace. You will work on such diverse projects as Image Quality scoring; Automatic Taxonomy Improvement and more.,"Kleinmachnow, DE Visa sponsorship in English Python, Spark, PyTorch Hybrid"
SumUp,Senior Data Analyst,"*SumUp is a top payments company in Germany. You will analyze data, create insights, and build user-friendly dashboards to support product research, strategy, and decision-making","Berlin, DE Visa sponsorship in English Snowflake, SQL, Tableau On-site only"
Wolt,"Senior Data Scientist, Courier Earnings",*Wolt is one of the largest food delivery services in Germany. You will be working on on developing algorithms and solutions to define pricing strategies for tasks completed by the couriers.,"Berlin, DE Visa sponsorship in English Python, SQL, Snowflake Remote"
Sixt,Senior Data Scientist,"*Sixt a leading global mobility service provider. You will be working on models that improve revenue management, demand forecast and more.","Munich, DE Visa sponsorship in English Python, AWS Hybrid"
Zalando,Senior Data / Product Analyst in CRM / Customer Inbox,"*Zalando is a top e-commerce company in fashion retail in Germany. You will be working on sending the right message at the right time, be it information about a customerâs purchase or a marketing message.","Berlin, DE Visa sponsorship in English Python, SQL Hybrid"
IONOS,Data Engineer (F/M/D) - Marketing,*IONOS is the leading European provider of cloud infrastructure. You will be responsible for designing and maintaining our data warehouse to support the needs of the business.,"Berlin, DE Visa sponsorship in English Python, Java, SQL, Data Vault 2.0 Hybrid"
Zalando,Senior Data Engineer for Partner Tech,*Zalando is a top e-commerce company in fashion retail in Germany. You will get the opportunity to build a new data platform from the early stages together with the team.,"Berlin, DE Visa sponsorship in English Spark, Databricks, Airflow, MPP DW Hybrid"
DeepL,Research Scientist,"*DeepL is the go-to translation tool for fast, accurate and high-quality translations. You will conduct cutting-edge research on neural translation networks.","Berlin, DE Visa sponsorship in English Python, C++, PyTorch, Tensorflow Remote"
Microsoft,Senior Data Scientist,*Microsoft is an American multinational technology corporation. You will be responsible for creating and deploying AI solutions.,"DE Visa sponsorship in English Python, C++, Spark Remote"
Omio,Analytics Engineer (Data Governance) (m/f/d),"*Omio is a tool for comparing and combiningrail, air, bus, and car for destinations. You willdevelop and implement data governance strategies and processes, aligning them with the business strategies.","Berlin, DE Apply from abroad in English GCP, Airflow, Spark, Terraform, ks8 Hybrid"
DeepL,Data Engineer,"*DeepL is the go-to translation tool for fast, accurate and high-quality translations. You will build and maintain data tables, libraries and the tooling supporting data processing at DeepL.","Berlin, DE Visa sponsorship in English Python, SQL, Clickhouse, Kubernetes Remote"
Zalando,Senior Data Engineer,"*Sixt a leading global mobility service provider. You will automate operations, increase self-service capabilities (for ingestion, ETLs, and distribution), and enable new use cases for customers.","Munich, DE Visa sponsorship in English Airflow, AWS, Terraform, Python, SQL Hybrid"
Lyft,Software / Machine Learning Engineer - Map Data,*Lyft is an American company offering mobility as a service. You will work end-to-end on creating new capabilities to detect changes in the environment and reflect them in the Lyft map.,"Munich, DE Visa sponsorship in English Python, PyTorch Hybrid"
Zalando,Data Engineer (Mid/Senior) - Machine Learning Engineering - Markets,"*Zalando is a top e-commerce company in fashion retail in Germany. You will Design, develop and operate reliable data integration pipelines processing huge data volume.","Berlin, DE Visa sponsorship in English Python, Spark, Airflow, AWS Hybrid"
Deutsche Bank,Senior Big Data Engineer Hadoop & Cloud,*What you'll do: Deutsche Bank is a global investment bank. You will be working on new features of the analytics platform.,"Berlin, DE Visa sponsorship in English SQL, Hadoop, Google Cloud Hybrid"
SONY,Research Engineer - Automatic Speech Recognition,"*What you'll do: You will develop and design prototypes of novel DNN based generative audio algorithms, prototypes of algorithms for automatic speech recognition and more.","Stuttgart, DE Visa sponsorship in English Python, PyTorch Hybrid"
Zalando,Senior Applied Scientist,*What you'll do: You will analyse client behaviour and develop targeted communication strategies.,"Berlin, DE Visa sponsorship in English Python, PyTorch, PySpark, AWS Hybrid"
Zalando,Senior Data Engineer for Lounge by Zalando,*What you'll do: You will support the implementation of a reliable and performant data infrastructure that integrates with internal and 3rd party tools.,"Berlin, DE Visa sponsorship in English MPP, Python, AWS, Airflow Hybrid"
